name,description,facilities,activities,island,site_link
Ala Moana Beach Park,"Ala Moana Beach Park (see more photos, view panorama), located between Waikiki and downtown Honolulu, is a favorite beach among local residents. Often times less crowded than Waikiki Beach, Ala Moana is a great place to swim, picnic, stroll on the beach or to relax.The beach is over half a mile long and the water is calm because it's protected by a shallow outer coral reef. There are hardly ever any waves, which makes Ala Moana Beach a favorite spot for long-distance swimmers, stand-up paddleboarders, novice swimmers and families with children. Recently installed buoys in the water mark the area for stand-up paddleboarders (it's the area closest to the offshore reef). The area closer to the beach is for swimmers. Back in the 1920s, Ala Moana Beach Park didn't exist. It was a wetland that the city used as a garbage dump. A boat channel, which was to connect the Ala Wai Boat Harbor with Kewalo Basin was dredged through the coral reef. The beach itself is also man-made. It was created by the owner of the Dillingham Dredging Company, who was looking for a place to deposit his dredged earth. In the 1950s, the company dumped sand at the park, which created the beach. The dredged channel is 20 to 30 feet (6 to 9 m) deep. Today, boats no longer pass through it. The nearshore ocean bottom at Ala Moana Beach drops quickly, so novice swimmers should be cautious. To avoid stepping on the sharp corals, most people prefer the east end of the beach (the one that's closer to Diamond Head) where the ocean bottom is sandy and has no reef or rocks. The middle section and west end of the beach has rocks on the nearshore ocean bottom, which makes entering the ocean more tricky. The 100-acre park has large grassy areas, banyan and palm trees, restrooms, showers, concession stands, a music pavilion, tennis courts and plenty of picnic tables. Ala Moana Beach Park is a good place to go jogging, picnicking, playing games, sunbathing, fishing, swimming, surfing, stand-up paddleboarding and relaxing. Some of the south shore's best surf spots are located just offshore, such as Big Rights, Big Lefts, Concessions, Bomboras and Courts. Lifeguards are stationed on the beach daily.        ",,"swimming, surfing, snorkeling, stand-up paddleboarding, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/ala-moana-beach-park.php
Army Beach,"Now you may wonder why a beach in Hawaii would be called Army Beach (view panorama) . The name doesn't exactly sound Hawaiian. Well, this beach was named for a military recreation center that was located here from 1970 to 1989. A surf site offshore bears the same name.   Army Beach is located on Oahu's northwestern shore, across from the entrance to the Dillingham Airfield. It is near the end of Farrington Highway and at the beginning of the Ka'ena Point State Park. The beach is backed by the Waianae Mountains and is quite scenic. It is a long, sandy beach with azure blue waters. The ocean bottom is mainly rocky with a coral reef, but there is a small reef-free area that's ideal for a dip into the ocean if you would like to swim. Surfing is also possible here. In the winter months (November to March), the waves can reach heights of 15+ feet (4.5+ m), so this is no time for swimming. When the surf is up, strong currents make entering the ocean too dangerous.     ",,"surfing, swimming, fishing, snorkeling",Oahu,https://www.to-hawaii.com/oahu/beaches/armybeach.php
Banzai Pipeline,"Located on Oahu's North Shore, Banzai Pipeline (view panorama) is a popular surf site where waves can reach heights of 20+ feet (6+ m) in the winter months (November to February).Many big wave surfing contests take place here, and people from all over the world - professional surfers as well as spectators and photographers - come here to see the waves.   The Pipeline was named in 1961 by a California surfing movie producer, Bruce Brown. He visited Oahu's North Shore and was scouting possible movie locations together with two California surfers, Mike Diffenderfer and Phil Edwards. They stopped at this yet unnamed surf site and Brown filmed the surfers catching several waves. They all agreed that the surf site needed a name. On the same day, a construction project on the highway next to the beach (Kamehameha Highway) was going on. An underground pipeline needed to be fixed. Diffenderfer suggested they name this surf spot ""the Pipeline."" In 1961, Brown made this name popular in his new movie Surfing Hollow Days. At that time, the beach fronting the surf site was called Banzai Beach. But today, it is better known as Banzai Pipeline.   ",,"surfing, bodyboarding, fishing, swimming (only when the ocean is calm)",Oahu,https://www.to-hawaii.com/oahu/beaches/banzaipipeline.php
Barber's Point Beach Park (Kalaeloa),"Barber's Point Beach Park is most known for its lighthouse. The small sandy beach is mainly used by fishermen and picnickers because the swimming conditions are poor.There is a low limestone shelf along most of the shoreline which makes entering the ocean difficult. This, as well as strong currents, make this a no-swimming beach. The beach park is located on Oahu's leeward coast (at the southwestern tip) near Campbell Industrial Park. It is not the most scenic area on the island.   Barber's Point is named after Captain Henry Barber. In 1796, Barber arrived on Oahu in the Arthur. After loading supplies in Honolulu, he wanted to sail to Kauai and then on to China. But he ran aground at Oahu's southwestern tip, known as Kalaeloa, which means “the long point” in the Hawaiian language. After this incident, this area became known as Barber's Point.    ",,fishing,Oahu,https://www.to-hawaii.com/oahu/beaches/barberspointbeachpark.php
Bellows Beach Park,"Located on Oahu's windward coast, Bellows Beach is noted for its clear, azure blue waters, soft white sand and waves ideal for bodyboarding. Many people would consider it one of the prettiest beaches on the island. The beach is backed by rows of ironwood trees, which provide plenty of shade in the afternoons.      ",,"bodyboarding, swimming, surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/bellows-beach-park.php
Camp Erdman Beach,"Located on Oahu's northwestern shore, Camp Erdman (view panorama) is a long white-sand beach that marks the end of Farrington Highway.Just beyond this beach, the highway turns into a dirt road. The beach is named after Harold R. Erdman (1905-1931). The camp is mainly used as a summer camp for children and year-round for retreats and workshops.   In 1926, the YMCA leased these 10 beachfront acres from Walter Dillingham and built this camp on it. Walter Dillingham was the uncle of Harold R. Erdman, who died in a horseback riding accident in 1931. After his death, his mother Marion Dillingham Erdman requested that the camp be named in memory of her son.     ",,"surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/camperdmanbeach.php
Chun's Reef,"Chun's Reef is a popular surf site on Oahu's North Shore. There is a long stretch of sandy beach that begins here and ends at Kawailoa Beach to the east. The beach is located right next to Kamehameha Highway. The surf site is named after John Chun, a former resident in this area, who owned a house in nearby Kawailoa. His children liked to surf, but preferred this surf site over the site in front of their house, called Leftovers. A family friend eventually named the surf site where the Chun kids liked to surf Chun's Reef and since that time (the 1960s) it is known as Chun's.       ",,"surfing, snorkeling, swimming, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/chunsreef.php
Diamond Head Beach Park,"Diamond Head Beach Park (view panorama) is located on the foothills of Diamond Head, an extinct volcanic crater at the eastern end of Waikiki. The park includes two acres of sea cliffs on the south slope of the crater between Beach Road and the Diamond Head Lighthouse.   The beach here is narrow and fronted by a rocky shelf. The swimming conditions are poor because of the coral reef, but surfers find an uncrowded paradise here compared to Waikiki Beach. Snorkeling is also good if the waves aren't too high. Diamond Head Beach is also a popular tidepool excursion site.    ",,"surfing, snorkeling, fishing, tidepooling",Oahu,https://www.to-hawaii.com/oahu/beaches/diamondheadbeachpark.php
Ehukai Beach Park,"Raging waters, towering surf and massive waves that shake the shores. Ehukai Beach Park (view panorama) on Oahu's North Shore is a daredevil's dream, with waves reaching heights of over 30 feet (9 m) during the winter months (November to February).It's no wonder the beach is one of the most famous surf spots in the world - and as you might expect, also one of the most dangerous.   In the winter, adventurous surfers come to Ehukai to surf the massive waves that form tubes as they break. From the shore, it makes for an undeniably splendid view. But the real spectacle is the surfers who dare to ride these waves. Not all of them succeed, of course - let's just say the Ehukai lifeguards have become well-trained at treating broken bones. Surfing contests take place here, for example the 2013 Volcom Pipe Pro, which was held in January/February 2013 (see photos). The beach is a lot calmer from May to September, often times as calm as a lake. This is when swimming is possible here. The trees lining the shore also provide shade for picnics. In the Hawaiian language, ehukai means “sea spray.”      ",,"surfing, bodyboarding, limited swimming (only when the ocean is calm), fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/ehukaibeachpark.php
Ewa Beach Park,"Ewa Beach Park (see more photos) is the main beach in the residential community of the same name – Ewa Beach. The five-acre park is fronted by a narrow sandy beach. It is a popular swimming and picnicking location among local residents.The beach is also a good spot to gather edible seaweed, called limu in Hawaiian.   Ewa means “strayed” in the Hawaiian language. The name comes from an ancient Hawaiian legend, which tells of two gods, Kane and Kanaloa. As they traveled around Oahu they decided to throw a stone to mark the boundaries of the different land divisions. Wherever a stone fell would be the border of two land divisions. They were unable to find the stone that they threw on the island's wide plain west of Pearl Harbor, so they named this area Ewa (“strayed”) for the stone that strayed.    ",,"swimming, surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/ewabeachpark.php
Hale'iwa Ali'i Beach Park,"Located west of the Hale'iwa Small Boat Harbor, this 19-acre beach park is a favorite gathering spot among North Shore residents.There is a large grassy area with plenty of room for a picnic. A recreation center named Kalili Surf Center is located in the park.   A popular surf site called Hale'iwa is located offshore. Beginners usually stick closer to shore, while experts ride the higher waves further out. A few surfing contests take place here in the winter months, when the surf on Oahu's North Shore is up. There are also a few good dive sites offshore, such as the Hale'iwa Trench. Swimming is possible here, but the conditions are fair because the ocean bottom is rocky. The beach park is more suitable for surfing, kayaking, boating, fishing and diving.     ",,"surfing, bodyboarding, fishing, diving, snorkeling, boating, kayaking, swimming",Oahu,https://www.to-hawaii.com/oahu/beaches/haleiwaaliibeachpark.php
Hale'iwa Beach Park,"Located in the small town of Hale'iwa on Oahu's North Shore, Hale'iwa Beach Park (see more photos, view panorama) is fronted by a narrow sand beach. Swimming isn't that good here because of the shallow and rocky ocean bottom, but the park is nice for picnics.   Also, Hale'iwa Beach Park is frequently used by canoe paddlers as a training and regatta site and by kayakers as an access point to the bay. Surfers also like this beach because from here they can get to the waves at the surf spot Puaena Point. The name Hale'iwa in the Hawaiian language means “house (of) frigate bird.""     ",,"surfing, snorkeling, limited swimming, scuba diving, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/haleiwabeachpark.php
Halona Beach Cove,"Halona Beach Cove (see more photos, view panorama) is a small pocket of sand located on the southeastern shore of Oahu.It was made popular in the movie From here to Eternity, filmed here in 1953, where it was a love scene of a couple (Burt Lancester and Deborah Kerr). Because of the movie, the beach was nicknamed Eternity Beach.   It is located on the right (west) side of the Halona Blowhole overlook. You have to hike down the rocks from there to get to it. Be careful and always wear shoes because the rocks are slippery, steep and sharp. The best time to swim in this small cove is when the water is calm. However, don't swim too far out because strong, dangerous currents are often times present and the water is very turbulent further out. Since there are no lifeguards stationed here, it is not recommended to get into the water if the surf is up. Also, stay away from the rocky areas. The rocky point to the west of the beach cove is called Bamboo Ridge. It has been a popular fishing spot since the 1920s. The location was named after the fishermen's bamboo fishing poles that could be seen along the edge of the cliff in the past. There are no facilities at Halona Beach Cove. Free parking is available at the Halona Blowhole lookout point.      ",,"swimming, snorkeling, scuba diving, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/halona-beach-cove.php
